FORMAT:           OCCAM2MTDATA_1.0
DESCRIPTION:      Sites for new project
  1  14   5  2.0000  0.0217
  1  14   6 45.0000  1.4500
  1  15   1  2.0000  0.0217
  1  15   2 45.0000  1.4500
  1  15   5  2.0000  0.0217
  1  15   6 45.0000  1.4500
  1  16   1  2.0000  0.0217
  1  16   2 45.0000  1.4500
  1  16   5  2.0000  0.0217
  1  16   6 45.0000  1.4500
  2   1   1  2.0000  0.0217
  2   1   2 45.0000  1.4500
  2   1   5  2.0000  0.0217
  2   1   6 45.0000  1.4500
  2   2   1  2.0000  0.0217
  2   2   2 45.0000  1.4500
  2   2   5  2.0000  0.0217
  2   2   6 45.0000  1.4500
  2   3   1  2.0000  0.0217
  2   3   2 45.0000  1.4500
  2   3   5  2.0000  0.0217
  2   3   6 45.0000  1.4500
  2   4   1  2.0000  0.0217
  2   4   2 45.0000  1.4500
  2   4   5  2.0000  0.0217
  2   4   6 45.0000  1.4500
  2   5   1  2.0000  0.0217
  2   5   2 45.0000  1.4500
  2   5   5  2.0000  0.0217
  2   5   6 45.0000  1.4500
  2   6   1  2.0000  0.0217
  2   6   2 45.0000  1.4500
  2   6   5  2.0000  0.0217
  2   6   6 45.0000  1.4500
  2   7   1  2.0000  0.0217
  2   7   2 45.0000  1.4500
  2   7   5  2.0000  0.0217
  2   7   6 45.0000  1.4500
  2   8   1  2.0000  0.0217
  2   8   2 45.0000  1.4500
  2   8   5  2.0000  0.0217
  2   8   6 45.0000  1.4500
  2   9   1  2.0000  0.0217
  2   9   2 45.0000  1.4500
  2   9   5  2.0000  0.0217
  2   9   6 45.0000  1.4500
  2  10   1  2.0000  0.0217
  2  10   2 45.0000  1.4500
  2  10   5  2.0000  0.0217
  2  10   6 45.0000  1.4500
  2  11   1  2.0000  0.0217
  2  11   2 45.0000  1.4500
  2  11   5  2.0000  0.0217
  2  11   6 45.0000  1.4500
  2  12   1  2.0000  0.0217
  2  12   2 45.0000  1.4500
  2  12   5  2.0000  0.0217
  2  12   6 45.0000  1.4500
  2  13   1  2.0000  0.0217
  2  13   2 45.0000  1.4500
  2  13   5  2.0000  0.0217
  2  13   6 45.0000  1.4500
  2  14   1  2.0000  0.0217
  2  14   2 45.0000  1.4500
  2  14   5  2.0000  0.0217
  2  14   6 45.0000  1.4500
  2  15   1  2.0000  0.0217
  2  15   2 45.0000  1.4500
  2  15   5  2.0000  0.0217
  2  15   6 45.0000  1.4500
  2  16   1  2.0000  0.0217
  2  16   2 45.0000  1.4500
  2  16   5  2.0000  0.0217
  2  16   6 45.0000  1.4500
  3   1   1  2.0000  0.0217
  3   1   2 45.0000  1.4500
  3   1   5  2.0000  0.0217
  3   1   6 45.0000  1.4500
  3   2   1  2.0000  0.0217
  3   2   2 45.0000  1.4500
  3   2   5  2.0000  0.0217
  3   2   6 45.0000  1.4500
  3   3   1  2.0000  0.0217
  3   3   2 45.0000  1.4500
  3   3   5  2.0000  0.0217
  3   3   6 45.0000  1.4500
  3   4   1  2.0000  0.0217
  3   4   2 45.0000  1.4500
  3   4   5  2.0000  0.0217
  3   4   6 45.0000  1.4500
  3   5   1  2.0000  0.0217
  3   5   2 45.0000  1.4500
  3   5   5  2.0000  0.0217
  3   5   6 45.0000  1.4500
  3   6   1  2.0000  0.0217
  3   6   2 45.0000  1.4500
  3   6   5  2.0000  0.0217
  3   6   6 45.0000  1.4500
  3   7   1  2.0000  0.0217
  3   7   2 45.0000  1.4500
  3   7   5  2.0000  0.0217
  3   7   6 45.0000  1.4500
  3   8   1  2.0000  0.0217
  3   8   2 45.0000  1.4500
  3   8   5  2.0000  0.0217
  3   8   6 45.0000  1.4500
  3   9   1  2.0000  0.0217
  3   9   2 45.0000  1.4500
  3   9   5  2.0000  0.0217
  3   9   6 45.0000  1.4500
  3  10   1  2.0000  0.0217
  3  10   2 45.0000  1.4500
  3  10   5  2.0000  0.0217
  3  10   6 45.0000  1.4500
  3  11   1  2.0000  0.0217
  3  11   2 45.0000  1.4500
  3  11   5  2.0000  0.0217
  3  11   6 45.0000  1.4500
  3  12   1  2.0000  0.0217
  3  12   2 45.0000  1.4500
  3  12   5  2.0000  0.0217
  3  12   6 45.0000  1.4500
  3  13   1  2.0000  0.0217
  3  13   2 45.0000  1.4500
  3  13   5  2.0000  0.0217
  3  13   6 45.0000  1.4500
  3  14   1  2.0000  0.0217
  3  14   2 45.0000  1.4500
  3  14   5  2.0000  0.0217
  3  14   6 45.0000  1.4500
  3  15   1  2.0000  0.0217
  3  15   2 45.0000  1.4500
  3  15   5  2.0000  0.0217
  3  15   6 45.0000  1.4500
  3  16   1  2.0000  0.0217
  3  16   2 45.0000  1.4500
  3  16   5  2.0000  0.0217
  3  16   6 45.0000  1.4500
  4   1   1  2.0000  0.0217
  4   1   2 45.0000  1.4500
  4   1   5  2.0000  0.0217
  4   1   6 45.0000  1.4500
  4   2   1  2.0000  0.0217
  4   2   2 45.0000  1.4500
  4   2   5  2.0000  0.0217
  4   2   6 45.0000  1.4500
  4   3   1  2.0000  0.0217
  4   3   2 45.0000  1.4500
  4   3   5  2.0000  0.0217
  4   3   6 45.0000  1.4500
  4   4   1  2.0000  0.0217
  4   4   2 45.0000  1.4500
  4   4   5  2.0000  0.0217
  4   4   6 45.0000  1.4500
  4   5   1  2.0000  0.0217
  4   5   2 45.0000  1.4500
  4   5   5  2.0000  0.0217
  4   5   6 45.0000  1.4500
  4   6   1  2.0000  0.0217
  4   6   2 45.0000  1.4500
  4   6   5  2.0000  0.0217
  4   6   6 45.0000  1.4500
  4   7   1  2.0000  0.0217
  4   7   2 45.0000  1.4500
  4   7   5  2.0000  0.0217
  4   7   6 45.0000  1.4500
  4   8   1  2.0000  0.0217
  4   8   2 45.0000  1.4500
  4   8   5  2.0000  0.0217
  4   8   6 45.0000  1.4500
  4   9   1  2.0000  0.0217
  4   9   2 45.0000  1.4500
  4   9   5  2.0000  0.0217
  4   9   6 45.0000  1.4500
  4  10   1  2.0000  0.0217
  4  10   2 45.0000  1.4500
  4  10   5  2.0000  0.0217
  4  10   6 45.0000  1.4500
  4  11   1  2.0000  0.0217
  4  11   2 45.0000  1.4500
  4  11   5  2.0000  0.0217
  4  11   6 45.0000  1.4500
  4  12   1  2.0000  0.0217
  4  12   2 45.0000  1.4500
  4  12   5  2.0000  0.0217
  4  12   6 45.0000  1.4500
  4  13   1  2.0000  0.0217
  4  13   2 45.0000  1.4500
  4  13   5  2.0000  0.0217
  4  13   6 45.0000  1.4500
  4  14   1  2.0000  0.0217
  4  14   2 45.0000  1.4500
  4  14   5  2.0000  0.0217
  4  14   6 45.0000  1.4500
  4  15   1  2.0000  0.0217
  4  15   2 45.0000  1.4500
  4  15   5  2.0000  0.0217
  4  15   6 45.0000  1.4500
  4  16   1  2.0000  0.0217
  4  16   2 45.0000  1.4500
  4  16   5  2.0000  0.0217
  4  16   6 45.0000  1.4500
  5   1   1  2.0000  0.0217
  5   1   2 45.0000  1.4500
  5   1   5  2.0000  0.0217
  5   1   6 45.0000  1.4500
  5   2   1  2.0000  0.0217
  5   2   2 45.0000  1.4500
  5   2   5  2.0000  0.0217
  5   2   6 45.0000  1.4500
  5   3   1  2.0000  0.0217
  5   3   2 45.0000  1.4500
  5   3   5  2.0000  0.0217
  5   3   6 45.0000  1.4500
  5   4   1  2.0000  0.0217
  5   4   2 45.0000  1.4500
  5   4   5  2.0000  0.0217
  5   4   6 45.0000  1.4500
  5   5   1  2.0000  0.0217
  5   5   2 45.0000  1.4500
  5   5   5  2.0000  0.0217
  5   5   6 45.0000  1.4500
  5   6   1  2.0000  0.0217
  5   6   2 45.0000  1.4500
  5   6   5  2.0000  0.0217
  5   6   6 45.0000  1.4500
  5   7   1  2.0000  0.0217
  5   7   2 45.0000  1.4500
  5   7   5  2.0000  0.0217
  5   7   6 45.0000  1.4500
  5   8   1  2.0000  0.0217
  5   8   2 45.0000  1.4500
  5   8   5  2.0000  0.0217
  5   8   6 45.0000  1.4500
  5   9   1  2.0000  0.0217
  5   9   2 45.0000  1.4500
  5   9   5  2.0000  0.0217
  5   9   6 45.0000  1.4500
  5  10   1  2.0000  0.0217
  5  10   2 45.0000  1.4500
  5  10   5  2.0000  0.0217
  5  10   6 45.0000  1.4500
  5  11   1  2.0000  0.0217
  5  11   2 45.0000  1.4500
  5  11   5  2.0000  0.0217
  5  11   6 45.0000  1.4500
  5  12   1  2.0000  0.0217
  5  12   2 45.0000  1.4500
  5  12   5  2.0000  0.0217
  5  12   6 45.0000  1.4500
  5  13   1  2.0000  0.0217
  5  13   2 45.0000  1.4500
  5  13   5  2.0000  0.0217
  5  13   6 45.0000  1.4500
  5  14   1  2.0000  0.0217
  5  14   2 45.0000  1.4500
  5  14   5  2.0000  0.0217
  5  14   6 45.0000  1.4500
  5  15   1  2.0000  0.0217
  5  15   2 45.0000  1.4500
  5  15   5  2.0000  0.0217
  5  15   6 45.0000  1.4500
  5  16   1  2.0000  0.0217
  5  16   2 45.0000  1.4500
  5  16   5  2.0000  0.0217
  5  16   6 45.0000  1.4500
  6   1   1  2.0000  0.0217
  6   1   2 45.0000  1.4500
  6   1   5  2.0000  0.0217
  6   1   6 45.0000  1.4500
  6   2   1  2.0000  0.0217
  6   2   2 45.0000  1.4500
  6   2   5  2.0000  0.0217
  6   2   6 45.0000  1.4500
  6   3   1  2.0000  0.0217
  6   3   2 45.0000  1.4500
  6   3   5  2.0000  0.0217
  6   3   6 45.0000  1.4500
  6   4   1  2.0000  0.0217
  6   4   2 45.0000  1.4500
  6   4   5  2.0000  0.0217
  6   4   6 45.0000  1.4500
  6   5   1  2.0000  0.0217
  6   5   2 45.0000  1.4500
  6   5   5  2.0000  0.0217
  6   5   6 45.0000  1.4500
  6   6   1  2.0000  0.0217
  6   6   2 45.0000  1.4500
  6   6   5  2.0000  0.0217
  6   6   6 45.0000  1.4500
  6   7   1  2.0000  0.0217
  6   7   2 45.0000  1.4500
  6   7   5  2.0000  0.0217
  6   7   6 45.0000  1.4500
  6   8   1  2.0000  0.0217
  6   8   2 45.0000  1.4500
  6   8   5  2.0000  0.0217
  6   8   6 45.0000  1.4500
  6   9   1  2.0000  0.0217
  6   9   2 45.0000  1.4500
  6   9   5  2.0000  0.0217
  6   9   6 45.0000  1.4500
  6  10   1  2.0000  0.0217
  6  10   2 45.0000  1.4500
  6  10   5  2.0000  0.0217
  6  10   6 45.0000  1.4500
  6  11   1  2.0000  0.0217
  6  11   2 45.0000  1.4500
  6  11   5  2.0000  0.0217
  6  11   6 45.0000  1.4500
  6  12   1  2.0000  0.0217
  6  12   2 45.0000  1.4500
  6  12   5  2.0000  0.0217
  6  12   6 45.0000  1.4500
  6  13   1  2.0000  0.0217
  6  13   2 45.0000  1.4500
  6  13   5  2.0000  0.0217
  6  13   6 45.0000  1.4500
  6  14   1  2.0000  0.0217
  6  14   2 45.0000  1.4500
  6  14   5  2.0000  0.0217
  6  14   6 45.0000  1.4500
  6  15   1  2.0000  0.0217
  6  15   2 45.0000  1.4500
  6  15   5  2.0000  0.0217
  6  15   6 45.0000  1.4500
  6  16   1  2.0000  0.0217
  6  16   2 45.0000  1.4500
  6  16   5  2.0000  0.0217
  6  16   6 45.0000  1.4500
  7   1   1  2.0000  0.0217
  7   1   2 45.0000  1.4500
  7   1   5  2.0000  0.0217
  7   1   6 45.0000  1.4500
  7   2   1  2.0000  0.0217
  7   2   2 45.0000  1.4500
  7   2   5  2.0000  0.0217
  7   2   6 45.0000  1.4500
  7   3   1  2.0000  0.0217
  7   3   2 45.0000  1.4500
  7   3   5  2.0000  0.0217
  7   3   6 45.0000  1.4500
  7   4   1  2.0000  0.0217
  7   4   2 45.0000  1.4500
  7   4   5  2.0000  0.0217
  7   4   6 45.0000  1.4500
  7   5   1  2.0000  0.0217
  7   5   2 45.0000  1.4500
  7   5   5  2.0000  0.0217
  7   5   6 45.0000  1.4500
  7   6   1  2.0000  0.0217
  7   6   2 45.0000  1.4500
  7   6   5  2.0000  0.0217
  7   6   6 45.0000  1.4500
  7   7   1  2.0000  0.0217
  7   7   2 45.0000  1.4500
  7   7   5  2.0000  0.0217
  7   7   6 45.0000  1.4500
  7   8   1  2.0000  0.0217
  7   8   2 45.0000  1.4500
  7   8   5  2.0000  0.0217
  7   8   6 45.0000  1.4500
  7   9   1  2.0000  0.0217
  7   9   2 45.0000  1.4500
  7   9   5  2.0000  0.0217
  7   9   6 45.0000  1.4500
  7  10   1  2.0000  0.0217
  7  10   2 45.0000  1.4500
  7  10   5  2.0000  0.0217
  7  10   6 45.0000  1.4500
  7  11   1  2.0000  0.0217
  7  11   2 45.0000  1.4500
  7  11   5  2.0000  0.0217
  7  11   6 45.0000  1.4500
  7  12   1  2.0000  0.0217
  7  12   2 45.0000  1.4500
  7  12   5  2.0000  0.0217
  7  12   6 45.0000  1.4500
  7  13   1  2.0000  0.0217
  7  13   2 45.0000  1.4500
  7  13   5  2.0000  0.0217
  7  13   6 45.0000  1.4500
  7  14   1  2.0000  0.0217
  7  14   2 45.0000  1.4500
  7  14   5  2.0000  0.0217
  7  14   6 45.0000  1.4500
  7  15   1  2.0000  0.0217
  7  15   2 45.0000  1.4500
  7  15   5  2.0000  0.0217
  7  15   6 45.0000  1.4500
  7  16   1  2.0000  0.0217
  7  16   2 45.0000  1.4500
  7  16   5  2.0000  0.0217
  7  16   6 45.0000  1.4500
  8   1   1  2.0000  0.0217
  8   1   2 45.0000  1.4500
  8   1   5  2.0000  0.0217
  8   1   6 45.0000  1.4500
  8   2   1  2.0000  0.0217
  8   2   2 45.0000  1.4500
  8   2   5  2.0000  0.0217
  8   2   6 45.0000  1.4500
  8   3   1  2.0000  0.0217
  8   3   2 45.0000  1.4500
  8   3   5  2.0000  0.0217
  8   3   6 45.0000  1.4500
  8   4   1  2.0000  0.0217
  8   4   2 45.0000  1.4500
  8   4   5  2.0000  0.0217
  8   4   6 45.0000  1.4500
  8   5   1  2.0000  0.0217
  8   5   2 45.0000  1.4500
  8   5   5  2.0000  0.0217
  8   5   6 45.0000  1.4500
  8   6   1  2.0000  0.0217
  8   6   2 45.0000  1.4500
  8   6   5  2.0000  0.0217
  8   6   6 45.0000  1.4500
  8   7   1  2.0000  0.0217
  8   7   2 45.0000  1.4500
  8   7   5  2.0000  0.0217
  8   7   6 45.0000  1.4500
  8   8   1  2.0000  0.0217
  8   8   2 45.0000  1.4500
  8   8   5  2.0000  0.0217
  8   8   6 45.0000  1.4500
  8   9   1  2.0000  0.0217
  8   9   2 45.0000  1.4500
  8   9   5  2.0000  0.0217
  8   9   6 45.0000  1.4500
  8  10   1  2.0000  0.0217
  8  10   2 45.0000  1.4500
  8  10   5  2.0000  0.0217
  8  10   6 45.0000  1.4500
  8  11   1  2.0000  0.0217
  8  11   2 45.0000  1.4500
  8  11   5  2.0000  0.0217
  8  11   6 45.0000  1.4500
  8  12   1  2.0000  0.0217
  8  12   2 45.0000  1.4500
  8  12   5  2.0000  0.0217
  8  12   6 45.0000  1.4500
  8  13   1  2.0000  0.0217
  8  13   2 45.0000  1.4500
  8  13   5  2.0000  0.0217
  8  13   6 45.0000  1.4500
  8  14   1  2.0000  0.0217
  8  14   2 45.0000  1.4500
  8  14   5  2.0000  0.0217
  8  14   6 45.0000  1.4500
  8  15   1  2.0000  0.0217
  8  15   2 45.0000  1.4500
  8  15   5  2.0000  0.0217
  8  15   6 45.0000  1.4500
  8  16   1  2.0000  0.0217
  8  16   2 45.0000  1.4500
  8  16   5  2.0000  0.0217
  8  16   6 45.0000  1.4500
  9   1   1  2.0000  0.0217
  9   1   2 45.0000  1.4500
  9   1   5  2.0000  0.0217
  9   1   6 45.0000  1.4500
  9   2   1  2.0000  0.0217
  9   2   2 45.0000  1.4500
  9   2   5  2.0000  0.0217
  9   2   6 45.0000  1.4500
  9   3   1  2.0000  0.0217
  9   3   2 45.0000  1.4500
  9   3   5  2.0000  0.0217
  9   3   6 45.0000  1.4500
  9   4   1  2.0000  0.0217
  9   4   2 45.0000  1.4500
  9   4   5  2.0000  0.0217
  9   4   6 45.0000  1.4500
  9   5   1  2.0000  0.0217
  9   5   2 45.0000  1.4500
  9   5   5  2.0000  0.0217
  9   5   6 45.0000  1.4500
  9   6   1  2.0000  0.0217
  9   6   2 45.0000  1.4500
  9   6   5  2.0000  0.0217
  9   6   6 45.0000  1.4500
  9   7   1  2.0000  0.0217
  9   7   2 45.0000  1.4500
  9   7   5  2.0000  0.0217
  9   7   6 45.0000  1.4500
  9   8   1  2.0000  0.0217
  9   8   2 45.0000  1.4500
  9   8   5  2.0000  0.0217
  9   8   6 45.0000  1.4500
  9   9   1  2.0000  0.0217
  9   9   2 45.0000  1.4500
  9   9   5  2.0000  0.0217
  9   9   6 45.0000  1.4500
  9  10   1  2.0000  0.0217
  9  10   2 45.0000  1.4500
  9  10   5  2.0000  0.0217
  9  10   6 45.0000  1.4500
  9  11   1  2.0000  0.0217
  9  11   2 45.0000  1.4500
  9  11   5  2.0000  0.0217
  9  11   6 45.0000  1.4500
  9  12   1  2.0000  0.0217
  9  12   2 45.0000  1.4500
  9  12   5  2.0000  0.0217
  9  12   6 45.0000  1.4500
  9  13   1  2.0000  0.0217
  9  13   2 45.0000  1.4500
  9  13   5  2.0000  0.0217
  9  13   6 45.0000  1.4500
  9  14   1  2.0000  0.0217
  9  14   2 45.0000  1.4500
  9  14   5  2.0000  0.0217
  9  14   6 45.0000  1.4500
  9  15   1  2.0000  0.0217
  9  15   2 45.0000  1.4500
  9  15   5  2.0000  0.0217
  9  15   6 45.0000  1.4500
  9  16   1  2.0000  0.0217
  9  16   2 45.0000  1.4500
  9  16   5  2.0000  0.0217
  9  16   6 45.0000  1.4500
 10   1   1  2.0000  0.0217
 10   1   2 45.0000  1.4500
 10   1   5  2.0000  0.0217
 10   1   6 45.0000  1.4500
 10   2   1  2.0000  0.0217
 10   2   2 45.0000  1.4500
 10   2   5  2.0000  0.0217
 10   2   6 45.0000  1.4500
 10   3   1  2.0000  0.0217
 10   3   2 45.0000  1.4500
 10   3   5  2.0000  0.0217
 10   3   6 45.0000  1.4500
 10   4   1  2.0000  0.0217
 10   4   2 45.0000  1.4500
 10   4   5  2.0000  0.0217
 10   4   6 45.0000  1.4500
 10   5   1  2.0000  0.0217
 10   5   2 45.0000  1.4500
 10   5   5  2.0000  0.0217
 10   5   6 45.0000  1.4500
 10   6   1  2.0000  0.0217
 10   6   2 45.0000  1.4500
 10   6   5  2.0000  0.0217
 10   6   6 45.0000  1.4500
 10   7   1  2.0000  0.0217
 10   7   2 45.0000  1.4500
 10   7   5  2.0000  0.0217
 10   7   6 45.0000  1.4500
 10   8   1  2.0000  0.0217
 10   8   2 45.0000  1.4500
 10   8   5  2.0000  0.0217
 10   8   6 45.0000  1.4500
 10   9   1  2.0000  0.0217
 10   9   2 45.0000  1.4500
 10   9   5  2.0000  0.0217
 10   9   6 45.0000  1.4500
 10  10   1  2.0000  0.0217
 10  10   2 45.0000  1.4500
 10  10   5  2.0000  0.0217
 10  10   6 45.0000  1.4500
 10  11   1  2.0000  0.0217
 10  11   2 45.0000  1.4500
 10  11   5  2.0000  0.0217
 10  11   6 45.0000  1.4500
 10  12   1  2.0000  0.0217
 10  12   2 45.0000  1.4500
 10  12   5  2.0000  0.0217
 10  12   6 45.0000  1.4500
 10  13   1  2.0000  0.0217
 10  13   2 45.0000  1.4500
 10  13   5  2.0000  0.0217
 10  13   6 45.0000  1.4500
 10  14   1  2.0000  0.0217
 10  14   2 45.0000  1.4500
 10  14   5  2.0000  0.0217
 10  14   6 45.0000  1.4500
 10  15   1  2.0000  0.0217
 10  15   2 45.0000  1.4500
 10  15   5  2.0000  0.0217
 10  15   6 45.0000  1.4500
 10  16   1  2.0000  0.0217
 10  16   2 45.0000  1.4500
 10  16   5  2.0000  0.0217
 10  16   6 45.0000  1.4500
 11   1   1  2.0000  0.0217
 11   1   2 45.0000  1.4500
 11   1   5  2.0000  0.0217
 11   1   6 45.0000  1.4500
 11   2   1  2.0000  0.0217
 11   2   2 45.0000  1.4500
 11   2   5  2.0000  0.0217
 11   2   6 45.0000  1.4500
 11   3   1  2.0000  0.0217
 11   3   2 45.0000  1.4500
 11   3   5  2.0000  0.0217
 11   3   6 45.0000  1.4500
 11   4   1  2.0000  0.0217
 11   4   2 45.0000  1.4500
 11   4   5  2.0000  0.0217
 11   4   6 45.0000  1.4500
 11   5   1  2.0000  0.0217
 11   5   2 45.0000  1.4500
 11   5   5  2.0000  0.0217
 11   5   6 45.0000  1.4500
 11   6   1  2.0000  0.0217
 11   6   2 45.0000  1.4500
 11   6   5  2.0000  0.0217
 11   6   6 45.0000  1.4500
 11   7   1  2.0000  0.0217
 11   7   2 45.0000  1.4500
 11   7   5  2.0000  0.0217
 11   7   6 45.0000  1.4500
 11   8   1  2.0000  0.0217
 11   8   2 45.0000  1.4500
 11   8   5  2.0000  0.0217
 11   8   6 45.0000  1.4500
 11   9   1  2.0000  0.0217
 11   9   2 45.0000  1.4500
 11   9   5  2.0000  0.0217
 11   9   6 45.0000  1.4500
 11  10   1  2.0000  0.0217
 11  10   2 45.0000  1.4500
 11  10   5  2.0000  0.0217
 11  10   6 45.0000  1.4500
 11  11   1  2.0000  0.0217
 11  11   2 45.0000  1.4500
 11  11   5  2.0000  0.0217
 11  11   6 45.0000  1.4500
 11  12   1  2.0000  0.0217
 11  12   2 45.0000  1.4500
 11  12   5  2.0000  0.0217
 11  12   6 45.0000  1.4500
 11  13   1  2.0000  0.0217
 11  13   2 45.0000  1.4500
 11  13   5  2.0000  0.0217
 11  13   6 45.0000  1.4500
 11  14   1  2.0000  0.0217
 11  14   2 45.0000  1.4500
 11  14   5  2.0000  0.0217
 11  14   6 45.0000  1.4500
 11  15   1  2.0000  0.0217
 11  15   2 45.0000  1.4500
 11  15   5  2.0000  0.0217
 11  15   6 45.0000  1.4500
 11  16   1  2.0000  0.0217
 11  16   2 45.0000  1.4500
 11  16   5  2.0000  0.0217
 11  16   6 45.0000  1.4500
